x,y,z
-144,169,-15.067
-144,168,-15
-144,167,-14.724
-144,166,-14.002
-144,165,-13.28
-144,164,-12.078
-144,163,-10.689
-144,162,-10
-144,161,-10
-144,160,-9.3024
-144,159,-8.518
-144,158,-7.8686
-144,157,-7.2193
-144,156,-6.5699
-144,155,-5.9206
-144,154,-5.2712
-144,153,-4.9011
-144,152,-4.7257
-144,151,-4.5502
-144,150,-4.4441
-144,149,-4.377
-144,148,-4.3099
-144,147,-4.2428
-144,146,-4.1364
-144,145,-4.0213
-144,144,-4.0001
-144,143,-4.0001
-144,142,-4.0001
-144,141,-4.0001
-144,140,-4.0001
-144,139,-4.0001
-144,138,-4.0001
-144,137,-4.0001
-144,136,-4.0001
-144,135,-4.0001
-144,134,-4.0001
-144,133,-4.0001
-144,132,-4.0001
-144,131,-4.0001
-144,130,-3.7947
-144,129,-3.6197
-144,128,-3.6743
-144,127,-3.7288
-144,126,-3.7834
-144,125,-3.8702
-144,124,-3.786
-144,123,-3.4613
-144,122,-3.3822
-144,121,-3.8638
-144,120,-3.4252
-144,119,-3.7032
-144,118,-3.7032
-144,117,-3.7032
-144,116,-3.7032
-144,115,-3.7032
-144,114,-3.7032
-144,113,-3.7032
-144,112,-3.7032
-144,111,-3.7032
-144,110,-3.7032
-144,109,-3.7032
-144,108,-3.7032
-144,107,-3.7032
-144,106,-3.6999
-144,105,-3.6687
-144,104,-3.6375
-144,103,-3.6063
-144,102,-3.575
-144,101,-3.5438
-144,100,-3.5126
-144,99,-3.4813
-144,98,-3.4501
-144,97,-3.4189
-144,96,-3.3877
-144,95,-3.3564
-144,94,-3.3252
-144,93,-3.294
-144,92,-3.2627
-144,91,-3.2315
-144,90,-3.2003
